date,price,slug,question
2023-12-06 00:00:00+00:00,0.345,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-07 00:00:00+00:00,0.36,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-08 00:00:00+00:00,0.355,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-09 00:00:00+00:00,0.365,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-10 00:00:00+00:00,0.41,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-11 00:00:00+00:00,0.15,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-12 00:00:00+00:00,0.215,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-13 00:00:00+00:00,0.2,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-14 00:00:00+00:00,0.2,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-15 00:00:00+00:00,0.22,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-16 00:00:00+00:00,0.195,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-17 00:00:00+00:00,0.195,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-18 00:00:00+00:00,0.195,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-19 00:00:00+00:00,0.235,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-20 00:00:00+00:00,0.235,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-21 00:00:00+00:00,0.23,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-22 00:00:00+00:00,0.23,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-23 00:00:00+00:00,0.24,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-24 00:00:00+00:00,0.255,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-25 00:00:00+00:00,0.255,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-26 00:00:00+00:00,0.255,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-27 00:00:00+00:00,0.19,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-28 00:00:00+00:00,0.185,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-29 00:00:00+00:00,0.19,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-30 00:00:00+00:00,0.205,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2023-12-31 00:00:00+00:00,0.25,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-01 00:00:00+00:00,0.235,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-02 00:00:00+00:00,0.225,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-03 00:00:00+00:00,0.225,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-04 00:00:00+00:00,0.205,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-05 00:00:00+00:00,0.205,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-06 00:00:00+00:00,0.2,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-07 00:00:00+00:00,0.135,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
2024-01-08 00:00:00+00:00,0.16,will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?
