date,price,slug,question
2023-12-05 00:00:00+00:00,0.4,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-06 00:00:00+00:00,0.4,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-07 00:00:00+00:00,0.52,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-08 00:00:00+00:00,0.255,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-09 00:00:00+00:00,0.275,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-10 00:00:00+00:00,0.3,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-11 00:00:00+00:00,0.28,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-12 00:00:00+00:00,0.53,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-13 00:00:00+00:00,0.57,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-14 00:00:00+00:00,0.43,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-15 00:00:00+00:00,0.34,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-16 00:00:00+00:00,0.535,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-17 00:00:00+00:00,0.52,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-18 00:00:00+00:00,0.58,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-19 00:00:00+00:00,0.54,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-20 00:00:00+00:00,0.615,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-21 00:00:00+00:00,0.565,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-22 00:00:00+00:00,0.485,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-23 00:00:00+00:00,0.315,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-24 00:00:00+00:00,0.315,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-25 00:00:00+00:00,0.31,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-26 00:00:00+00:00,0.345,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-27 00:00:00+00:00,0.48,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-28 00:00:00+00:00,0.19,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-29 00:00:00+00:00,0.245,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-30 00:00:00+00:00,0.34,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2023-12-31 00:00:00+00:00,0.355,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-01 00:00:00+00:00,0.375,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-02 00:00:00+00:00,0.235,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-03 00:00:00+00:00,0.24,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-04 00:00:00+00:00,0.36,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-05 00:00:00+00:00,0.3,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-06 00:00:00+00:00,0.38,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-07 00:00:00+00:00,0.44,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-08 00:00:00+00:00,0.475,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-09 00:00:00+00:00,0.265,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
2024-01-10 00:00:00+00:00,0.235,will-eth-hit-2000-or-2500-first,"Will $ETH hit $2,000 or $2,500 first?"
