date,price,slug,question
2023-12-27 00:00:00+00:00,0.505,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2023-12-28 00:00:00+00:00,0.83,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2023-12-29 00:00:00+00:00,0.77,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2023-12-30 00:00:00+00:00,0.715,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2023-12-31 00:00:00+00:00,0.655,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-01 00:00:00+00:00,0.63,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-02 00:00:00+00:00,0.74,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-03 00:00:00+00:00,0.745,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-04 00:00:00+00:00,0.51,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-05 00:00:00+00:00,0.595,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-06 00:00:00+00:00,0.51,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-07 00:00:00+00:00,0.52,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-08 00:00:00+00:00,0.5,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-09 00:00:00+00:00,0.65,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
2024-01-10 00:00:00+00:00,0.65,will-eth-hit-2500-by-jan-31,"Will ETH hit $2,500 by Jan 31?"
