date,price,slug,question
2024-02-15 00:00:00+00:00,0.45,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-16 00:00:00+00:00,0.4465,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-17 00:00:00+00:00,0.395,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-18 00:00:00+00:00,0.345,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-19 00:00:00+00:00,0.313,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-20 00:00:00+00:00,0.3355,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-21 00:00:00+00:00,0.611,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-22 00:00:00+00:00,0.461,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-23 00:00:00+00:00,0.1475,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-24 00:00:00+00:00,0.055,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-25 00:00:00+00:00,0.0545,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-26 00:00:00+00:00,0.031,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-27 00:00:00+00:00,0.015,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-28 00:00:00+00:00,0.0095,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-02-29 00:00:00+00:00,0.009,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-03-01 00:00:00+00:00,0.0055,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
2024-03-02 00:00:00+00:00,0.0005,will-google-or-nvidia-be-worth-more-on-march-1,Will Google or NVIDIA be worth more on March 1?
