date,price,slug,question
2023-12-14 00:00:00+00:00,0.375,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-15 00:00:00+00:00,0.375,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-16 00:00:00+00:00,0.375,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-17 00:00:00+00:00,0.52,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-18 00:00:00+00:00,0.61,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-19 00:00:00+00:00,0.655,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-20 00:00:00+00:00,0.62,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-21 00:00:00+00:00,0.66,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-22 00:00:00+00:00,0.67,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-23 00:00:00+00:00,0.635,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-24 00:00:00+00:00,0.635,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-25 00:00:00+00:00,0.405,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-26 00:00:00+00:00,0.455,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-27 00:00:00+00:00,0.475,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-28 00:00:00+00:00,0.515,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-29 00:00:00+00:00,0.5,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-30 00:00:00+00:00,0.46,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2023-12-31 00:00:00+00:00,0.37,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-01 00:00:00+00:00,0.355,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-02 00:00:00+00:00,0.355,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-03 00:00:00+00:00,0.155,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-04 00:00:00+00:00,0.205,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-05 00:00:00+00:00,0.17,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-06 00:00:00+00:00,0.17,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-07 00:00:00+00:00,0.155,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-08 00:00:00+00:00,0.11,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-09 00:00:00+00:00,0.105,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-10 00:00:00+00:00,0.11,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-11 00:00:00+00:00,0.09,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-12 00:00:00+00:00,0.085,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-13 00:00:00+00:00,0.03,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-14 00:00:00+00:00,0.0145,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-15 00:00:00+00:00,0.0185,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
2024-01-16 00:00:00+00:00,0.0065,will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?
