date,price,slug,question
2023-12-09 00:00:00+00:00,0.045,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-10 00:00:00+00:00,0.033,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-11 00:00:00+00:00,0.0345,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-12 00:00:00+00:00,0.037,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-13 00:00:00+00:00,0.0385,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-14 00:00:00+00:00,0.0355,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-15 00:00:00+00:00,0.0355,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-16 00:00:00+00:00,0.036,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-17 00:00:00+00:00,0.034,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-18 00:00:00+00:00,0.0335,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-19 00:00:00+00:00,0.034,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-20 00:00:00+00:00,0.034,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-21 00:00:00+00:00,0.0305,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-22 00:00:00+00:00,0.0305,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-23 00:00:00+00:00,0.0305,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-24 00:00:00+00:00,0.024,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-25 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-26 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-27 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-28 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-29 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-30 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2023-12-31 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-01 00:00:00+00:00,0.0245,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-02 00:00:00+00:00,0.0155,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-03 00:00:00+00:00,0.0155,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-04 00:00:00+00:00,0.018,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-05 00:00:00+00:00,0.0155,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-06 00:00:00+00:00,0.013,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-07 00:00:00+00:00,0.0105,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-08 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-09 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-10 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-11 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-12 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-13 00:00:00+00:00,0.015,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-14 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-15 00:00:00+00:00,0.0105,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-16 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-17 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-18 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-19 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-20 00:00:00+00:00,0.011,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-21 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-22 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-23 00:00:00+00:00,0.0095,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-24 00:00:00+00:00,0.01,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-25 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-26 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-27 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-28 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-29 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-30 00:00:00+00:00,0.0095,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-01-31 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
2024-02-01 00:00:00+00:00,0.005,will-hamas-surrender-before-february,Will Hamas surrender before February?
