date,price,slug,question
2023-12-30 00:00:00+00:00,0.04,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2023-12-31 00:00:00+00:00,0.024,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-01 00:00:00+00:00,0.0235,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-02 00:00:00+00:00,0.023,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-03 00:00:00+00:00,0.025,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-04 00:00:00+00:00,0.03,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-05 00:00:00+00:00,0.029,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-06 00:00:00+00:00,0.026,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-07 00:00:00+00:00,0.018,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-08 00:00:00+00:00,0.0175,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-09 00:00:00+00:00,0.036,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-10 00:00:00+00:00,0.033,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-11 00:00:00+00:00,0.033,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-12 00:00:00+00:00,0.04,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-13 00:00:00+00:00,0.0355,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-14 00:00:00+00:00,0.0335,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-15 00:00:00+00:00,0.0275,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-16 00:00:00+00:00,0.0705,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-17 00:00:00+00:00,0.029,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-18 00:00:00+00:00,0.0225,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-19 00:00:00+00:00,0.014,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-20 00:00:00+00:00,0.0195,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-21 00:00:00+00:00,0.0195,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-22 00:00:00+00:00,0.0175,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-23 00:00:00+00:00,0.0115,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-24 00:00:00+00:00,0.0115,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-25 00:00:00+00:00,0.011,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-26 00:00:00+00:00,0.011,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-27 00:00:00+00:00,0.011,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-28 00:00:00+00:00,0.0105,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-29 00:00:00+00:00,0.0105,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-30 00:00:00+00:00,0.0105,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-01-31 00:00:00+00:00,0.0105,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
2024-02-01 00:00:00+00:00,0.0105,will-iran-officially-join-the-war-before-february,Will Iran officially join the war before February?
