date,price,slug,question
2024-02-23 00:00:00+00:00,0.095,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-24 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-25 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-26 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-27 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-28 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-02-29 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-01 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-02 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-03 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-04 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-05 00:00:00+00:00,0.105,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-06 00:00:00+00:00,0.11,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-07 00:00:00+00:00,0.11,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-08 00:00:00+00:00,0.105,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-09 00:00:00+00:00,0.095,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-10 00:00:00+00:00,0.095,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-11 00:00:00+00:00,0.095,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-12 00:00:00+00:00,0.085,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-13 00:00:00+00:00,0.075,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-14 00:00:00+00:00,0.065,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-15 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-16 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-17 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-18 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-19 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-20 00:00:00+00:00,0.055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-21 00:00:00+00:00,0.035,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-22 00:00:00+00:00,0.0245,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-23 00:00:00+00:00,0.024,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-24 00:00:00+00:00,0.015,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-25 00:00:00+00:00,0.006,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-26 00:00:00+00:00,0.011,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-27 00:00:00+00:00,0.0115,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-28 00:00:00+00:00,0.011,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-29 00:00:00+00:00,0.0105,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-30 00:00:00+00:00,0.0055,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-03-31 00:00:00+00:00,0.003,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
2024-04-01 00:00:00+00:00,0.0015,will-israel-invade-lebanon-before-april,Will Israel invade Lebanon before April?
