date,price,slug,question
2024-01-10 00:00:00+00:00,0.045,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-11 00:00:00+00:00,0.045,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-12 00:00:00+00:00,0.054,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-13 00:00:00+00:00,0.046,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-14 00:00:00+00:00,0.0305,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-15 00:00:00+00:00,0.039,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-16 00:00:00+00:00,0.0395,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-17 00:00:00+00:00,0.0305,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-18 00:00:00+00:00,0.022,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-19 00:00:00+00:00,0.017,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-20 00:00:00+00:00,0.0115,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
2024-01-21 00:00:00+00:00,0.0095,will-israel-invade-lebanon-by-january-20,Will Israel invade Lebanon by January 20?
