date,price,slug,question
2023-12-27 00:00:00+00:00,0.9485,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2023-12-28 00:00:00+00:00,0.926,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2023-12-29 00:00:00+00:00,0.926,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2023-12-30 00:00:00+00:00,0.9265,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2023-12-31 00:00:00+00:00,0.9275,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-01 00:00:00+00:00,0.965,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-02 00:00:00+00:00,0.965,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-03 00:00:00+00:00,0.955,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-04 00:00:00+00:00,0.98,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-05 00:00:00+00:00,0.9685,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-06 00:00:00+00:00,0.97,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-07 00:00:00+00:00,0.97,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-08 00:00:00+00:00,0.975,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-09 00:00:00+00:00,0.975,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-10 00:00:00+00:00,0.945,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-11 00:00:00+00:00,0.935,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-12 00:00:00+00:00,0.9525,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-13 00:00:00+00:00,0.98,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-14 00:00:00+00:00,0.975,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
2024-01-15 00:00:00+00:00,0.975,will-joe-biden-be-president-of-the-united-states-on-april-1-2024,"Will Joe Biden be President of the United States on April 1, 2024?"
