date,price,slug,question
2024-01-31 00:00:00+00:00,0.5,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-01 00:00:00+00:00,0.9275,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-02 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-03 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-04 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-05 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-06 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-07 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-08 00:00:00+00:00,0.9375,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-09 00:00:00+00:00,0.93,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-10 00:00:00+00:00,0.9265,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-11 00:00:00+00:00,0.926,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-12 00:00:00+00:00,0.926,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-13 00:00:00+00:00,0.9255,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-14 00:00:00+00:00,0.939,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-15 00:00:00+00:00,0.8775,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-16 00:00:00+00:00,0.8775,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-17 00:00:00+00:00,0.865,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
2024-02-18 00:00:00+00:00,0.865,will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?"
