date,price,slug,question
2023-12-23 00:00:00+00:00,0.405,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-24 00:00:00+00:00,0.375,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-25 00:00:00+00:00,0.34,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-26 00:00:00+00:00,0.345,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-27 00:00:00+00:00,0.34,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-28 00:00:00+00:00,0.345,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-29 00:00:00+00:00,0.33,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-30 00:00:00+00:00,0.325,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2023-12-31 00:00:00+00:00,0.255,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-01 00:00:00+00:00,0.255,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-02 00:00:00+00:00,0.255,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-03 00:00:00+00:00,0.25,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-04 00:00:00+00:00,0.35,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-05 00:00:00+00:00,0.34,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-06 00:00:00+00:00,0.24,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-07 00:00:00+00:00,0.165,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
2024-01-08 00:00:00+00:00,0.17,will-joe-bidens-538-approval-rating-be-between-39pt1-39pt5-on-january-7,Will Joe Biden's 538 approval rating be between 39.1-39.5% on January 7?
