date,price,slug,question
2023-12-23 00:00:00+00:00,0.14,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-24 00:00:00+00:00,0.18,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-25 00:00:00+00:00,0.18,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-26 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-27 00:00:00+00:00,0.165,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-28 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-29 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-30 00:00:00+00:00,0.165,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2023-12-31 00:00:00+00:00,0.16,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-01 00:00:00+00:00,0.085,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-02 00:00:00+00:00,0.5,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-03 00:00:00+00:00,0.52,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-04 00:00:00+00:00,0.525,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-05 00:00:00+00:00,0.54,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-06 00:00:00+00:00,0.535,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-07 00:00:00+00:00,0.535,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
2024-01-08 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?
