date,price,slug,question
2024-02-27 00:00:00+00:00,0.5,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-02-28 00:00:00+00:00,0.065,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-02-29 00:00:00+00:00,0.065,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-01 00:00:00+00:00,0.065,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-02 00:00:00+00:00,0.065,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-03 00:00:00+00:00,0.065,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-04 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-05 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-06 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-07 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-08 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-09 00:00:00+00:00,0.075,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-10 00:00:00+00:00,0.495,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-11 00:00:00+00:00,0.385,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-12 00:00:00+00:00,0.095,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-13 00:00:00+00:00,0.07,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-14 00:00:00+00:00,0.07,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-15 00:00:00+00:00,0.06,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-16 00:00:00+00:00,0.06,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-17 00:00:00+00:00,0.495,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-18 00:00:00+00:00,0.015,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-19 00:00:00+00:00,0.015,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-20 00:00:00+00:00,0.015,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
2024-03-21 00:00:00+00:00,0.015,will-justin-fields-be-traded-to-the-new-england-patriots,Will Justin Fields be traded to the New England Patriots?
