date,price,slug,question
2024-02-27 00:00:00+00:00,0.5,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-02-28 00:00:00+00:00,0.155,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-02-29 00:00:00+00:00,0.15,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-01 00:00:00+00:00,0.12,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-02 00:00:00+00:00,0.125,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-03 00:00:00+00:00,0.125,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-04 00:00:00+00:00,0.17,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-05 00:00:00+00:00,0.175,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-06 00:00:00+00:00,0.175,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-07 00:00:00+00:00,0.18,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-08 00:00:00+00:00,0.18,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-09 00:00:00+00:00,0.5,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-10 00:00:00+00:00,0.5,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-11 00:00:00+00:00,0.2,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-12 00:00:00+00:00,0.0205,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-13 00:00:00+00:00,0.0205,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-14 00:00:00+00:00,0.0205,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-15 00:00:00+00:00,0.0205,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-16 00:00:00+00:00,0.02,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-17 00:00:00+00:00,0.51,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-18 00:00:00+00:00,0.51,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-19 00:00:00+00:00,0.505,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-20 00:00:00+00:00,0.505,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
2024-03-21 00:00:00+00:00,0.5105,will-justin-fields-be-traded-to-the-pittsburgh-steelers,Will Justin Fields be traded to the Pittsburgh Steelers?
