date,price,slug,question
2024-02-27 00:00:00+00:00,0.25,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-02-28 00:00:00+00:00,0.295,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-02-29 00:00:00+00:00,0.17,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-01 00:00:00+00:00,0.18,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-02 00:00:00+00:00,0.105,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-03 00:00:00+00:00,0.095,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-04 00:00:00+00:00,0.135,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-05 00:00:00+00:00,0.555,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-06 00:00:00+00:00,0.145,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-07 00:00:00+00:00,0.165,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-08 00:00:00+00:00,0.165,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-09 00:00:00+00:00,0.57,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-10 00:00:00+00:00,0.495,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-11 00:00:00+00:00,0.275,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-12 00:00:00+00:00,0.355,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-13 00:00:00+00:00,0.35,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-14 00:00:00+00:00,0.38,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-15 00:00:00+00:00,0.29,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-16 00:00:00+00:00,0.445,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-17 00:00:00+00:00,0.25,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-18 00:00:00+00:00,0.11,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-19 00:00:00+00:00,0.11,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-20 00:00:00+00:00,0.11,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
2024-03-21 00:00:00+00:00,0.11,will-justin-fields-remain-on-the-bears,Will Justin Fields remain on the Bears?
