date,price,slug,question
2023-12-27 00:00:00+00:00,0.5,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2023-12-28 00:00:00+00:00,0.5,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2023-12-29 00:00:00+00:00,0.485,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2023-12-30 00:00:00+00:00,0.315,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2023-12-31 00:00:00+00:00,0.31,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-01 00:00:00+00:00,0.3,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-02 00:00:00+00:00,0.3,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-03 00:00:00+00:00,0.235,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-04 00:00:00+00:00,0.14,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-05 00:00:00+00:00,0.08,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-06 00:00:00+00:00,0.07,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-07 00:00:00+00:00,0.04,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-08 00:00:00+00:00,0.065,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-09 00:00:00+00:00,0.055,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-10 00:00:00+00:00,0.185,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-11 00:00:00+00:00,0.03,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-12 00:00:00+00:00,0.0565,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
2024-01-13 00:00:00+00:00,0.0565,will-kanye-release-vultures-by-jan-12,Will Kanye release ‘Vultures’ by Jan 12?
