date,price,slug,question
2024-02-13 00:00:00+00:00,0.505,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-14 00:00:00+00:00,0.365,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-15 00:00:00+00:00,0.345,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-16 00:00:00+00:00,0.29,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-17 00:00:00+00:00,0.3,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-18 00:00:00+00:00,0.3,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-19 00:00:00+00:00,0.325,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-20 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-21 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-22 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-23 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-24 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-25 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-26 00:00:00+00:00,0.315,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-27 00:00:00+00:00,0.305,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-28 00:00:00+00:00,0.305,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-02-29 00:00:00+00:00,0.305,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-01 00:00:00+00:00,0.27,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-02 00:00:00+00:00,0.285,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-03 00:00:00+00:00,0.295,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-04 00:00:00+00:00,0.28,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-05 00:00:00+00:00,0.215,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-06 00:00:00+00:00,0.155,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-07 00:00:00+00:00,0.21,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-08 00:00:00+00:00,0.31,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
2024-03-09 00:00:00+00:00,0.15,will-kanye-release-vultures-vol-2-by-march-8,Will Kanye release 'Vultures' Vol. 2 by March 8?
