date,price,slug,question
2023-12-01 00:00:00+00:00,0.215,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-02 00:00:00+00:00,0.17,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-03 00:00:00+00:00,0.215,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-04 00:00:00+00:00,0.225,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-05 00:00:00+00:00,0.225,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-06 00:00:00+00:00,0.23,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-07 00:00:00+00:00,0.23,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-08 00:00:00+00:00,0.235,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-09 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-10 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-11 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-12 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-13 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-14 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-15 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-16 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-17 00:00:00+00:00,0.205,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-18 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-19 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-20 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-21 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-22 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-23 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-24 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-25 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-26 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
2023-12-27 00:00:00+00:00,0.175,will-kraken-ipo-by-june,Will Kraken IPO by June?
