date,price,slug,question
2023-10-03 00:00:00+00:00,0.58,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-04 00:00:00+00:00,0.58,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-05 00:00:00+00:00,0.585,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-06 00:00:00+00:00,0.6,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-07 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-08 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-09 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-10 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-11 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-12 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-13 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-14 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-15 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-16 00:00:00+00:00,0.615,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-17 00:00:00+00:00,0.615,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-18 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-19 00:00:00+00:00,0.61,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-20 00:00:00+00:00,0.11,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-21 00:00:00+00:00,0.11,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-22 00:00:00+00:00,0.11,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-23 00:00:00+00:00,0.11,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-24 00:00:00+00:00,0.06,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-25 00:00:00+00:00,0.06,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-26 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-27 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-28 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-29 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-30 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-10-31 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-11-01 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
2023-11-02 00:00:00+00:00,0.035,will-laphonza-butler-advance-from-the-2024-ca-senate-primary,Will Laphonza Butler advance from the 2024 CA Senate Primary?
