date,price,slug,question
2024-01-04 00:00:00+00:00,0.225,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-05 00:00:00+00:00,0.195,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-06 00:00:00+00:00,0.1,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-07 00:00:00+00:00,0.075,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-08 00:00:00+00:00,0.07,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-09 00:00:00+00:00,0.07,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-10 00:00:00+00:00,0.05,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-11 00:00:00+00:00,0.035,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-12 00:00:00+00:00,0.045,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-13 00:00:00+00:00,0.0275,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-14 00:00:00+00:00,0.0265,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-15 00:00:00+00:00,0.0275,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
2024-01-16 00:00:00+00:00,0.0225,will-maersk-resume-shipping-through-red-sea-by-jan-15,Will Maersk resume shipping through Red Sea by Jan 15?
