date,price,slug,question
2024-01-07 00:00:00+00:00,0.235,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-08 00:00:00+00:00,0.235,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-09 00:00:00+00:00,0.235,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-10 00:00:00+00:00,0.235,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-11 00:00:00+00:00,0.37,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-12 00:00:00+00:00,0.33,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-13 00:00:00+00:00,0.3,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-14 00:00:00+00:00,0.315,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-15 00:00:00+00:00,0.315,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-16 00:00:00+00:00,0.325,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-17 00:00:00+00:00,0.23,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-18 00:00:00+00:00,0.125,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-19 00:00:00+00:00,0.095,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-20 00:00:00+00:00,0.065,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-21 00:00:00+00:00,0.055,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-22 00:00:00+00:00,0.029,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-23 00:00:00+00:00,0.014,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
2024-01-24 00:00:00+00:00,0.0415,will-nikki-haley-win-the-new-hampshire-republican-primary,Will Nikki Haley win the New Hampshire Republican Primary?
