date,price,slug,question
2024-01-06 00:00:00+00:00,0.375,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-07 00:00:00+00:00,0.375,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-08 00:00:00+00:00,0.37,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-09 00:00:00+00:00,0.365,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-10 00:00:00+00:00,0.35,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-11 00:00:00+00:00,0.365,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-12 00:00:00+00:00,0.365,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-13 00:00:00+00:00,0.68,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-14 00:00:00+00:00,0.68,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-15 00:00:00+00:00,0.67,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-16 00:00:00+00:00,0.67,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-17 00:00:00+00:00,0.63,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-18 00:00:00+00:00,0.615,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-19 00:00:00+00:00,0.555,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-20 00:00:00+00:00,0.6,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-21 00:00:00+00:00,0.64,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-22 00:00:00+00:00,0.635,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-23 00:00:00+00:00,0.635,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-24 00:00:00+00:00,0.61,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-25 00:00:00+00:00,0.6,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-26 00:00:00+00:00,0.6,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
2024-01-27 00:00:00+00:00,0.37,will-openai-release-gpt-4pt5-before-april,Will OpenAI release GPT-4.5 before April?
