date,price,slug,question
2024-01-26 00:00:00+00:00,0.515,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-01-27 00:00:00+00:00,0.265,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-01-28 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-01-29 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-01-30 00:00:00+00:00,0.475,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-01-31 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-01 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-02 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-03 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-04 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-05 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-06 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-07 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-08 00:00:00+00:00,0.49,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-09 00:00:00+00:00,0.5,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-10 00:00:00+00:00,0.58,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-11 00:00:00+00:00,0.54,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-12 00:00:00+00:00,0.575,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-13 00:00:00+00:00,0.52,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-14 00:00:00+00:00,0.51,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-15 00:00:00+00:00,0.5,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-16 00:00:00+00:00,0.505,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-17 00:00:00+00:00,0.505,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-18 00:00:00+00:00,0.47,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-19 00:00:00+00:00,0.23,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-20 00:00:00+00:00,0.315,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-21 00:00:00+00:00,0.285,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-22 00:00:00+00:00,0.265,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-23 00:00:00+00:00,0.25,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-24 00:00:00+00:00,0.25,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-25 00:00:00+00:00,0.245,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-26 00:00:00+00:00,0.285,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-27 00:00:00+00:00,0.265,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-28 00:00:00+00:00,0.255,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-02-29 00:00:00+00:00,0.255,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-01 00:00:00+00:00,0.255,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-02 00:00:00+00:00,0.305,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-03 00:00:00+00:00,0.315,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-04 00:00:00+00:00,0.295,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-05 00:00:00+00:00,0.29,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-06 00:00:00+00:00,0.305,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-07 00:00:00+00:00,0.3,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-08 00:00:00+00:00,0.3,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-09 00:00:00+00:00,0.16,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-10 00:00:00+00:00,0.275,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
2024-03-11 00:00:00+00:00,0.5,will-oppenheimer-win-the-oscar-for-best-adapted-screenplay,Will Oppenheimer win the Oscar for Best Adapted Screenplay?
