date,price,slug,question
2023-10-20 00:00:00+00:00,0.25,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-21 00:00:00+00:00,0.235,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-22 00:00:00+00:00,0.19,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-23 00:00:00+00:00,0.165,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-24 00:00:00+00:00,0.135,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-25 00:00:00+00:00,0.135,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-26 00:00:00+00:00,0.135,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-27 00:00:00+00:00,0.13,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-28 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-29 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-30 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-10-31 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-01 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-02 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-03 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-04 00:00:00+00:00,0.11,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-05 00:00:00+00:00,0.1,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
2023-11-06 00:00:00+00:00,0.1,will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?
