date,price,slug,question
2024-01-03 00:00:00+00:00,0.225,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-04 00:00:00+00:00,0.135,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-05 00:00:00+00:00,0.12,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-06 00:00:00+00:00,0.15,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-07 00:00:00+00:00,0.135,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-08 00:00:00+00:00,0.135,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-09 00:00:00+00:00,0.125,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-10 00:00:00+00:00,0.11,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-11 00:00:00+00:00,0.11,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-12 00:00:00+00:00,0.07,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-13 00:00:00+00:00,0.075,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-14 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-15 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-16 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-17 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-18 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-19 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-20 00:00:00+00:00,0.065,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-21 00:00:00+00:00,0.085,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-22 00:00:00+00:00,0.08,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-23 00:00:00+00:00,0.085,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-24 00:00:00+00:00,0.085,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-25 00:00:00+00:00,0.09,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-26 00:00:00+00:00,0.04,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-27 00:00:00+00:00,0.4945,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-28 00:00:00+00:00,0.105,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-29 00:00:00+00:00,0.12,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-30 00:00:00+00:00,0.0225,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-01-31 00:00:00+00:00,0.0455,will-solana-go-down-in-january,Will Solana Network go down in January?
2024-02-01 00:00:00+00:00,0.015,will-solana-go-down-in-january,Will Solana Network go down in January?
