date,price,slug,question
2023-12-28 00:00:00+00:00,0.53,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2023-12-29 00:00:00+00:00,0.525,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2023-12-30 00:00:00+00:00,0.575,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2023-12-31 00:00:00+00:00,0.6,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-01 00:00:00+00:00,0.595,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-02 00:00:00+00:00,0.565,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-03 00:00:00+00:00,0.565,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-04 00:00:00+00:00,0.565,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-05 00:00:00+00:00,0.58,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-06 00:00:00+00:00,0.575,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-07 00:00:00+00:00,0.57,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-08 00:00:00+00:00,0.54,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-09 00:00:00+00:00,0.57,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-10 00:00:00+00:00,0.64,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-11 00:00:00+00:00,0.625,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-12 00:00:00+00:00,0.635,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-13 00:00:00+00:00,0.635,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-14 00:00:00+00:00,0.665,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-15 00:00:00+00:00,0.64,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-16 00:00:00+00:00,0.64,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-17 00:00:00+00:00,0.615,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-18 00:00:00+00:00,0.64,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-19 00:00:00+00:00,0.66,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-20 00:00:00+00:00,0.63,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-21 00:00:00+00:00,0.635,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-22 00:00:00+00:00,0.625,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-23 00:00:00+00:00,0.62,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-24 00:00:00+00:00,0.65,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-25 00:00:00+00:00,0.645,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-26 00:00:00+00:00,0.665,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
2024-01-27 00:00:00+00:00,0.675,will-spacexs-starship-launch-before-march,Will SpaceX's Starship launch before March?
