date,price,slug,question
2023-10-04 00:00:00+00:00,0.655,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-05 00:00:00+00:00,0.55,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-06 00:00:00+00:00,0.54,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-07 00:00:00+00:00,0.33,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-08 00:00:00+00:00,0.405,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-09 00:00:00+00:00,0.375,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-10 00:00:00+00:00,0.405,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-11 00:00:00+00:00,0.345,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-12 00:00:00+00:00,0.68,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-13 00:00:00+00:00,0.125,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-14 00:00:00+00:00,0.031,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-15 00:00:00+00:00,0.032,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-16 00:00:00+00:00,0.051,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-17 00:00:00+00:00,0.0345,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-18 00:00:00+00:00,0.13,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-19 00:00:00+00:00,0.0645,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-20 00:00:00+00:00,0.0795,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-21 00:00:00+00:00,0.061,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-22 00:00:00+00:00,0.061,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-23 00:00:00+00:00,0.065,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-24 00:00:00+00:00,0.048,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
2023-10-25 00:00:00+00:00,0.0185,will-steve-scalise-be-the-next-speaker,Will Steve Scalise be the next Speaker?
