date,price,slug,question
2023-12-19 00:00:00+00:00,0.255,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-20 00:00:00+00:00,0.195,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-21 00:00:00+00:00,0.175,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-22 00:00:00+00:00,0.195,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-23 00:00:00+00:00,0.415,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-24 00:00:00+00:00,0.3,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-25 00:00:00+00:00,0.3,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-26 00:00:00+00:00,0.265,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-27 00:00:00+00:00,0.545,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-28 00:00:00+00:00,0.42,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-29 00:00:00+00:00,0.24,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-30 00:00:00+00:00,0.25,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2023-12-31 00:00:00+00:00,0.205,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-01 00:00:00+00:00,0.215,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-02 00:00:00+00:00,0.215,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-03 00:00:00+00:00,0.175,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-04 00:00:00+00:00,0.165,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-05 00:00:00+00:00,0.115,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-06 00:00:00+00:00,0.065,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-07 00:00:00+00:00,0.2,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-08 00:00:00+00:00,0.135,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-09 00:00:00+00:00,0.135,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-10 00:00:00+00:00,0.2,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-11 00:00:00+00:00,0.25,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-12 00:00:00+00:00,0.075,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-13 00:00:00+00:00,0.075,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-14 00:00:00+00:00,0.07,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-15 00:00:00+00:00,0.05,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-16 00:00:00+00:00,0.06,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-17 00:00:00+00:00,0.0335,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-18 00:00:00+00:00,0.0345,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-19 00:00:00+00:00,0.03,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-20 00:00:00+00:00,0.015,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-21 00:00:00+00:00,0.01,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-22 00:00:00+00:00,0.01,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-23 00:00:00+00:00,0.014,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-24 00:00:00+00:00,0.035,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-25 00:00:00+00:00,0.0165,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-26 00:00:00+00:00,0.01,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-27 00:00:00+00:00,0.002,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-28 00:00:00+00:00,0.003,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-29 00:00:00+00:00,0.002,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-30 00:00:00+00:00,0.002,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-01-31 00:00:00+00:00,0.002,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
2024-02-01 00:00:00+00:00,0.007,will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?
