date,price,slug,question
2023-10-31 00:00:00+00:00,0.35,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-01 00:00:00+00:00,0.135,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-02 00:00:00+00:00,0.14,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-03 00:00:00+00:00,0.09,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-04 00:00:00+00:00,0.09,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-05 00:00:00+00:00,0.1,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-06 00:00:00+00:00,0.1,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-07 00:00:00+00:00,0.09,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-08 00:00:00+00:00,0.085,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-09 00:00:00+00:00,0.085,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-10 00:00:00+00:00,0.085,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-11 00:00:00+00:00,0.085,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-12 00:00:00+00:00,0.07,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-13 00:00:00+00:00,0.07,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-14 00:00:00+00:00,0.075,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-15 00:00:00+00:00,0.075,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-16 00:00:00+00:00,0.075,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-17 00:00:00+00:00,0.075,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-18 00:00:00+00:00,0.08,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-19 00:00:00+00:00,0.08,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-20 00:00:00+00:00,0.08,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
2023-11-21 00:00:00+00:00,0.08,will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?
