date,price,slug,question
2023-12-12 00:00:00+00:00,0.085,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-13 00:00:00+00:00,0.085,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-14 00:00:00+00:00,0.08,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-15 00:00:00+00:00,0.075,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-16 00:00:00+00:00,0.045,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-17 00:00:00+00:00,0.045,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-18 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-19 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-20 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-21 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-22 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-23 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-24 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-25 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-26 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-27 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-28 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-29 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-30 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2023-12-31 00:00:00+00:00,0.065,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2024-01-01 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2024-01-02 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2024-01-03 00:00:00+00:00,0.065,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
2024-01-04 00:00:00+00:00,0.07,will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?
