date,price,slug,question
2024-01-07 00:00:00+00:00,0.05,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-08 00:00:00+00:00,0.055,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-09 00:00:00+00:00,0.045,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-10 00:00:00+00:00,0.045,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-11 00:00:00+00:00,0.05,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-12 00:00:00+00:00,0.05,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-13 00:00:00+00:00,0.045,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-14 00:00:00+00:00,0.04,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-15 00:00:00+00:00,0.055,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-16 00:00:00+00:00,0.085,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-17 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-18 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-19 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-20 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-21 00:00:00+00:00,0.1,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-22 00:00:00+00:00,0.115,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-23 00:00:00+00:00,0.105,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-24 00:00:00+00:00,0.105,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-25 00:00:00+00:00,0.105,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-26 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-27 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-28 00:00:00+00:00,0.095,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
2024-01-29 00:00:00+00:00,0.425,will-the-detroit-lions-win-super-bowl-lviii,Will the Detroit Lions win Super Bowl LVIII?
