date,price,slug,question
2023-12-07 00:00:00+00:00,0.525,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-08 00:00:00+00:00,0.725,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-09 00:00:00+00:00,0.685,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-10 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-11 00:00:00+00:00,0.715,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-12 00:00:00+00:00,0.675,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-13 00:00:00+00:00,0.66,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-14 00:00:00+00:00,0.665,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-15 00:00:00+00:00,0.665,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-16 00:00:00+00:00,0.545,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-17 00:00:00+00:00,0.485,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-18 00:00:00+00:00,0.485,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-19 00:00:00+00:00,0.54,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-20 00:00:00+00:00,0.485,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-21 00:00:00+00:00,0.485,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-22 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-23 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-24 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-25 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-26 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-27 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-28 00:00:00+00:00,0.71,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-29 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-30 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2023-12-31 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-01 00:00:00+00:00,0.705,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-02 00:00:00+00:00,0.69,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-03 00:00:00+00:00,0.69,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-04 00:00:00+00:00,0.69,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-05 00:00:00+00:00,0.695,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-06 00:00:00+00:00,0.695,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-07 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-08 00:00:00+00:00,0.68,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-09 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-10 00:00:00+00:00,0.68,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-11 00:00:00+00:00,0.68,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-12 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-13 00:00:00+00:00,0.7,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-14 00:00:00+00:00,0.71,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-15 00:00:00+00:00,0.75,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-16 00:00:00+00:00,0.65,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-17 00:00:00+00:00,0.77,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-18 00:00:00+00:00,0.77,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-19 00:00:00+00:00,0.78,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-20 00:00:00+00:00,0.83,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-21 00:00:00+00:00,0.83,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-22 00:00:00+00:00,0.81,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
2024-01-23 00:00:00+00:00,0.8,will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?
