date,price,slug,question
2024-01-07 00:00:00+00:00,0.085,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-08 00:00:00+00:00,0.085,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-09 00:00:00+00:00,0.085,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-10 00:00:00+00:00,0.08,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-11 00:00:00+00:00,0.08,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-12 00:00:00+00:00,0.08,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-13 00:00:00+00:00,0.08,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-14 00:00:00+00:00,0.08,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-15 00:00:00+00:00,0.115,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-16 00:00:00+00:00,0.115,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-17 00:00:00+00:00,0.105,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-18 00:00:00+00:00,0.105,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-19 00:00:00+00:00,0.105,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-20 00:00:00+00:00,0.105,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-21 00:00:00+00:00,0.11,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-22 00:00:00+00:00,0.54,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-23 00:00:00+00:00,0.21,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-24 00:00:00+00:00,0.21,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-25 00:00:00+00:00,0.205,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-26 00:00:00+00:00,0.2,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-27 00:00:00+00:00,0.195,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-28 00:00:00+00:00,0.195,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-29 00:00:00+00:00,0.49,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-30 00:00:00+00:00,0.485,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-01-31 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-01 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-02 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-03 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-04 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-05 00:00:00+00:00,0.465,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-06 00:00:00+00:00,0.4615,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-07 00:00:00+00:00,0.4615,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-08 00:00:00+00:00,0.462,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-09 00:00:00+00:00,0.4635,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-10 00:00:00+00:00,0.4645,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-11 00:00:00+00:00,0.4665,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
2024-02-12 00:00:00+00:00,0.5755,will-the-kansas-city-chiefs-win-super-bowl-lviii,Will the Kansas City Chiefs win Super Bowl LVIII?
