date,price,slug,question
2024-01-07 00:00:00+00:00,0.0065,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-08 00:00:00+00:00,0.015,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-09 00:00:00+00:00,0.0145,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-10 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-11 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-12 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-13 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-14 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-15 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-16 00:00:00+00:00,0.014,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-17 00:00:00+00:00,0.0345,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-18 00:00:00+00:00,0.0305,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-19 00:00:00+00:00,0.028,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-20 00:00:00+00:00,0.028,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-21 00:00:00+00:00,0.0305,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
2024-01-22 00:00:00+00:00,0.0005,will-the-tampa-bay-buccaneers-win-super-bowl-lviii,Will the Tampa Bay Buccaneers win Super Bowl LVIII?
