date,price,slug,question
2024-01-27 00:00:00+00:00,0.155,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-01-28 00:00:00+00:00,0.17,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-01-29 00:00:00+00:00,0.175,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-01-30 00:00:00+00:00,0.175,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-01-31 00:00:00+00:00,0.175,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-01 00:00:00+00:00,0.175,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-02 00:00:00+00:00,0.175,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-03 00:00:00+00:00,0.155,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-04 00:00:00+00:00,0.15,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-05 00:00:00+00:00,0.15,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-06 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-07 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-08 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-09 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-10 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-11 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-12 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-13 00:00:00+00:00,0.165,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-14 00:00:00+00:00,0.45,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-15 00:00:00+00:00,0.29,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-16 00:00:00+00:00,0.21,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-17 00:00:00+00:00,0.22,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-18 00:00:00+00:00,0.21,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-19 00:00:00+00:00,0.205,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-20 00:00:00+00:00,0.245,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-21 00:00:00+00:00,0.25,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-22 00:00:00+00:00,0.37,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-23 00:00:00+00:00,0.395,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-24 00:00:00+00:00,0.41,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-25 00:00:00+00:00,0.405,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-26 00:00:00+00:00,0.445,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-27 00:00:00+00:00,0.415,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-28 00:00:00+00:00,0.345,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-02-29 00:00:00+00:00,0.095,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-01 00:00:00+00:00,0.07,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-02 00:00:00+00:00,0.07,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-03 00:00:00+00:00,0.07,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-04 00:00:00+00:00,0.075,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-05 00:00:00+00:00,0.065,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-06 00:00:00+00:00,0.065,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-07 00:00:00+00:00,0.0355,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-08 00:00:00+00:00,0.0355,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-09 00:00:00+00:00,0.221,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-10 00:00:00+00:00,0.9515,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-11 00:00:00+00:00,0.9405,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
2024-03-12 00:00:00+00:00,0.9975,will-there-be-a-us-government-shutdown-by-mar-9,US government shutdown by Mar 9?
