date,price,slug,question
2023-12-21 00:00:00+00:00,0.045,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-22 00:00:00+00:00,0.055,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-23 00:00:00+00:00,0.04,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-24 00:00:00+00:00,0.035,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-25 00:00:00+00:00,0.035,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-26 00:00:00+00:00,0.0355,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-27 00:00:00+00:00,0.041,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-28 00:00:00+00:00,0.037,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-29 00:00:00+00:00,0.0425,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-30 00:00:00+00:00,0.0465,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2023-12-31 00:00:00+00:00,0.043,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-01 00:00:00+00:00,0.05,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-02 00:00:00+00:00,0.0275,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-03 00:00:00+00:00,0.025,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-04 00:00:00+00:00,0.015,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-05 00:00:00+00:00,0.0175,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-06 00:00:00+00:00,0.0155,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-07 00:00:00+00:00,0.017,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-08 00:00:00+00:00,0.023,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-09 00:00:00+00:00,0.033,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-10 00:00:00+00:00,0.024,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-11 00:00:00+00:00,0.028,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-12 00:00:00+00:00,0.0245,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
2024-01-13 00:00:00+00:00,0.0235,will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?
