date,price,slug,question
2025-02-01 00:00:00+00:00,0.25,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-02 00:00:00+00:00,0.325,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-03 00:00:00+00:00,0.305,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-04 00:00:00+00:00,0.32,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-05 00:00:00+00:00,0.335,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-06 00:00:00+00:00,0.325,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-07 00:00:00+00:00,0.325,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-08 00:00:00+00:00,0.34,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-09 00:00:00+00:00,0.365,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-10 00:00:00+00:00,0.37,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-11 00:00:00+00:00,0.365,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-12 00:00:00+00:00,0.295,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-13 00:00:00+00:00,0.28,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-14 00:00:00+00:00,0.275,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-15 00:00:00+00:00,0.215,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-16 00:00:00+00:00,0.205,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-17 00:00:00+00:00,0.205,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-18 00:00:00+00:00,0.155,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-19 00:00:00+00:00,0.135,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
2025-02-20 00:00:00+00:00,0.14,will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? 
