date,price,slug,question
2024-01-25 00:00:00+00:00,0.53,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-26 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-27 00:00:00+00:00,0.535,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-28 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-29 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-30 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-01-31 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-01 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-02 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-03 00:00:00+00:00,0.515,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-04 00:00:00+00:00,0.52,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-05 00:00:00+00:00,0.52,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-06 00:00:00+00:00,0.53,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-07 00:00:00+00:00,0.53,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-08 00:00:00+00:00,0.54,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-09 00:00:00+00:00,0.55,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-10 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-11 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-12 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-13 00:00:00+00:00,0.55,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-14 00:00:00+00:00,0.55,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-15 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-16 00:00:00+00:00,0.545,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-17 00:00:00+00:00,0.76,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-18 00:00:00+00:00,0.325,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-19 00:00:00+00:00,0.35,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-20 00:00:00+00:00,0.375,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-21 00:00:00+00:00,0.4,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-22 00:00:00+00:00,0.4,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-23 00:00:00+00:00,0.4,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-24 00:00:00+00:00,0.375,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-25 00:00:00+00:00,0.405,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-26 00:00:00+00:00,0.405,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-27 00:00:00+00:00,0.405,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-28 00:00:00+00:00,0.405,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-02-29 00:00:00+00:00,0.38,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-01 00:00:00+00:00,0.38,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-02 00:00:00+00:00,0.395,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-03 00:00:00+00:00,0.395,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-04 00:00:00+00:00,0.515,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-05 00:00:00+00:00,0.52,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-06 00:00:00+00:00,0.515,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-07 00:00:00+00:00,0.52,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-08 00:00:00+00:00,0.52,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-09 00:00:00+00:00,0.515,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-10 00:00:00+00:00,0.28,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-11 00:00:00+00:00,0.285,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
2024-03-12 00:00:00+00:00,0.285,will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?
