date,price,slug,question
2023-12-28 00:00:00+00:00,0.515,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2023-12-29 00:00:00+00:00,0.58,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2023-12-30 00:00:00+00:00,0.51,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2023-12-31 00:00:00+00:00,0.425,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-01 00:00:00+00:00,0.35,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-02 00:00:00+00:00,0.36,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-03 00:00:00+00:00,0.315,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-04 00:00:00+00:00,0.235,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-05 00:00:00+00:00,0.23,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-06 00:00:00+00:00,0.135,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-07 00:00:00+00:00,0.145,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-08 00:00:00+00:00,0.115,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-09 00:00:00+00:00,0.125,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-10 00:00:00+00:00,0.275,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-11 00:00:00+00:00,0.165,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-12 00:00:00+00:00,0.16,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-13 00:00:00+00:00,0.12,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-14 00:00:00+00:00,0.08,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-15 00:00:00+00:00,0.085,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-16 00:00:00+00:00,0.085,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-17 00:00:00+00:00,0.06,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-18 00:00:00+00:00,0.06,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-19 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-20 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-21 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-22 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-23 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-24 00:00:00+00:00,0.055,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-25 00:00:00+00:00,0.085,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-26 00:00:00+00:00,0.07,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-27 00:00:00+00:00,0.065,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-28 00:00:00+00:00,0.06,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-29 00:00:00+00:00,0.06,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-30 00:00:00+00:00,0.05,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-01-31 00:00:00+00:00,0.05,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
2024-02-01 00:00:00+00:00,0.04,will-ukraine-receive-f-16s-by-end-of-january,Will Ukraine receive F-16s by end of January?
