date,price,slug,question
2024-02-03 00:00:00+00:00,0.5,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-04 00:00:00+00:00,0.505,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-05 00:00:00+00:00,0.505,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-06 00:00:00+00:00,0.5,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-07 00:00:00+00:00,0.505,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-08 00:00:00+00:00,0.485,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-09 00:00:00+00:00,0.485,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-10 00:00:00+00:00,0.485,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-11 00:00:00+00:00,0.15,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-12 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-13 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-14 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-15 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-16 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-17 00:00:00+00:00,0.145,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-18 00:00:00+00:00,0.15,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-19 00:00:00+00:00,0.15,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-20 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-21 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-22 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-23 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-24 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-25 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-26 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-27 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-28 00:00:00+00:00,0.15,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-02-29 00:00:00+00:00,0.15,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-01 00:00:00+00:00,0.155,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-02 00:00:00+00:00,0.16,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-03 00:00:00+00:00,0.16,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-04 00:00:00+00:00,0.165,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-05 00:00:00+00:00,0.165,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-06 00:00:00+00:00,0.165,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-07 00:00:00+00:00,0.165,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
2024-03-08 00:00:00+00:00,0.18,will-us-gain-250k-300k-jobs-in-february,Will US gain 250k-300k jobs in February?
