date,price,slug,question
2023-12-28 00:00:00+00:00,0.565,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2023-12-29 00:00:00+00:00,0.58,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2023-12-30 00:00:00+00:00,0.585,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2023-12-31 00:00:00+00:00,0.635,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-01 00:00:00+00:00,0.63,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-02 00:00:00+00:00,0.605,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-03 00:00:00+00:00,0.61,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-04 00:00:00+00:00,0.595,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-05 00:00:00+00:00,0.585,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-06 00:00:00+00:00,0.58,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-07 00:00:00+00:00,0.55,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-08 00:00:00+00:00,0.545,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-09 00:00:00+00:00,0.52,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-10 00:00:00+00:00,0.51,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-11 00:00:00+00:00,0.505,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-12 00:00:00+00:00,0.51,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-13 00:00:00+00:00,0.42,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-14 00:00:00+00:00,0.425,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-15 00:00:00+00:00,0.7,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
2024-01-16 00:00:00+00:00,0.38,will-vivek-drop-out-of-presidential-race-before-february,Will Vivek drop out of presidential race before February?
