date,price,slug,question
2024-02-15 00:00:00+00:00,0.525,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-16 00:00:00+00:00,0.16,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-17 00:00:00+00:00,0.135,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-18 00:00:00+00:00,0.055,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-19 00:00:00+00:00,0.07,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-20 00:00:00+00:00,0.12,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-21 00:00:00+00:00,0.085,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-22 00:00:00+00:00,0.05,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-23 00:00:00+00:00,0.025,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-24 00:00:00+00:00,0.03,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-25 00:00:00+00:00,0.03,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-26 00:00:00+00:00,0.03,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-27 00:00:00+00:00,0.0995,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-28 00:00:00+00:00,0.2625,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-02-29 00:00:00+00:00,0.595,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
2024-03-01 00:00:00+00:00,0.49,will-wif-hit-1-by-march-15,Will WIF hit $1 by March 15?
