date,price,slug,question
2023-12-09 00:00:00+00:00,0.93,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-10 00:00:00+00:00,0.935,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-11 00:00:00+00:00,0.945,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-12 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-13 00:00:00+00:00,0.905,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-14 00:00:00+00:00,0.915,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-15 00:00:00+00:00,0.915,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-16 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-17 00:00:00+00:00,0.915,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-18 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-19 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-20 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-21 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-22 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-23 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-24 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-25 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-26 00:00:00+00:00,0.925,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-27 00:00:00+00:00,0.705,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-28 00:00:00+00:00,0.89,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-29 00:00:00+00:00,0.875,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
2023-12-30 00:00:00+00:00,0.89,will-zelensky-remain-president-of-ukraine-through-march,Will Zelensky remain President of Ukraine through March?
