date,price,slug,question
2023-12-12 00:00:00+00:00,0.235,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-13 00:00:00+00:00,0.205,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-14 00:00:00+00:00,0.17,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-15 00:00:00+00:00,0.175,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-16 00:00:00+00:00,0.17,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-17 00:00:00+00:00,0.175,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-18 00:00:00+00:00,0.175,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-19 00:00:00+00:00,0.205,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-20 00:00:00+00:00,0.195,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-21 00:00:00+00:00,0.195,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-22 00:00:00+00:00,0.195,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-23 00:00:00+00:00,0.555,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-24 00:00:00+00:00,0.555,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-25 00:00:00+00:00,0.555,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-26 00:00:00+00:00,0.555,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-27 00:00:00+00:00,0.56,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-28 00:00:00+00:00,0.56,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-29 00:00:00+00:00,0.56,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-30 00:00:00+00:00,0.56,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2023-12-31 00:00:00+00:00,0.575,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2024-01-01 00:00:00+00:00,0.575,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2024-01-02 00:00:00+00:00,0.575,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2024-01-03 00:00:00+00:00,0.305,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2024-01-04 00:00:00+00:00,0.205,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
2024-01-05 00:00:00+00:00,0.255,wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?
