date,price,slug,question
2024-02-08 00:00:00+00:00,0.5,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-09 00:00:00+00:00,0.15,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-10 00:00:00+00:00,0.57,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-11 00:00:00+00:00,0.165,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-12 00:00:00+00:00,0.155,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-13 00:00:00+00:00,0.155,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-14 00:00:00+00:00,0.155,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-15 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-16 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-17 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-18 00:00:00+00:00,0.1,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-19 00:00:00+00:00,0.105,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-20 00:00:00+00:00,0.105,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-21 00:00:00+00:00,0.105,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-22 00:00:00+00:00,0.105,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-23 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-24 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-25 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-26 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-27 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-28 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-02-29 00:00:00+00:00,0.095,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-01 00:00:00+00:00,0.025,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-02 00:00:00+00:00,0.0255,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-03 00:00:00+00:00,0.0305,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-04 00:00:00+00:00,0.0305,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-05 00:00:00+00:00,0.0305,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-06 00:00:00+00:00,0.4995,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-07 00:00:00+00:00,0.4995,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-08 00:00:00+00:00,0.4995,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-09 00:00:00+00:00,0.4995,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-10 00:00:00+00:00,0.4995,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-11 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-12 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-13 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-14 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-15 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-16 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-17 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-18 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-19 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-20 00:00:00+00:00,0.031,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-21 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-22 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-23 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-24 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-25 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-26 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-27 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-28 00:00:00+00:00,0.1515,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-29 00:00:00+00:00,0.1265,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-30 00:00:00+00:00,0.126,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-03-31 00:00:00+00:00,0.126,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-04-01 00:00:00+00:00,0.126,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-04-02 00:00:00+00:00,0.126,wormhole-airdrop-in-may,Wormhole airdrop in May?
2024-04-03 00:00:00+00:00,0.125,wormhole-airdrop-in-may,Wormhole airdrop in May?
