date,price,slug,question
2023-12-14 00:00:00+00:00,0.54,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-15 00:00:00+00:00,0.445,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-16 00:00:00+00:00,0.44,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-17 00:00:00+00:00,0.47,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-18 00:00:00+00:00,0.46,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-19 00:00:00+00:00,0.47,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-20 00:00:00+00:00,0.5,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-21 00:00:00+00:00,0.5,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-22 00:00:00+00:00,0.495,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-23 00:00:00+00:00,0.5,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-24 00:00:00+00:00,0.605,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-25 00:00:00+00:00,0.605,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-26 00:00:00+00:00,0.575,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-27 00:00:00+00:00,0.56,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-28 00:00:00+00:00,0.56,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-29 00:00:00+00:00,0.55,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-30 00:00:00+00:00,0.55,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2023-12-31 00:00:00+00:00,0.5,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-01 00:00:00+00:00,0.5,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-02 00:00:00+00:00,0.565,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-03 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-04 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-05 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-06 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-07 00:00:00+00:00,0.675,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-08 00:00:00+00:00,0.665,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-09 00:00:00+00:00,0.66,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-10 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-11 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-12 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-13 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-14 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-15 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-16 00:00:00+00:00,0.725,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-17 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-18 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-19 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-20 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
2024-01-21 00:00:00+00:00,0.7,yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?
