date,price,slug,question
2023-12-01 00:00:00+00:00,0.36,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-02 00:00:00+00:00,0.375,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-03 00:00:00+00:00,0.375,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-04 00:00:00+00:00,0.38,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-05 00:00:00+00:00,0.385,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-06 00:00:00+00:00,0.385,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-07 00:00:00+00:00,0.625,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-08 00:00:00+00:00,0.605,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-09 00:00:00+00:00,0.63,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-10 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-11 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-12 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-13 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-14 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-15 00:00:00+00:00,0.65,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-16 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-17 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-18 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-19 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-20 00:00:00+00:00,0.725,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-21 00:00:00+00:00,0.63,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-22 00:00:00+00:00,0.6,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-23 00:00:00+00:00,0.705,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-24 00:00:00+00:00,0.705,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-25 00:00:00+00:00,0.705,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-26 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-27 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-28 00:00:00+00:00,0.7,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-29 00:00:00+00:00,0.69,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-30 00:00:00+00:00,0.44,zksync-airdrop-by-april,zkSync airdrop by April?
2023-12-31 00:00:00+00:00,0.415,zksync-airdrop-by-april,zkSync airdrop by April?
2024-01-01 00:00:00+00:00,0.575,zksync-airdrop-by-april,zkSync airdrop by April?
2024-01-02 00:00:00+00:00,0.58,zksync-airdrop-by-april,zkSync airdrop by April?
